"@timestamp","destination.ip","destination.port","dns.answers.ttl","dns.header_flags","dns.question.name","source.ip","source.port"
"Oct 19, 2025 @ 17:21:07.397","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:21:07.334","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:21:07.333","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:21:07.331","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:21:07.330","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:05:56.720","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:05:56.720","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:05:56.717","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:05:56.717","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:03:58.810","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:03:58.809","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:03:58.808","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:03:58.807","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:02:16.901","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:02:16.900","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:02:16.899","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:02:16.898","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:01:06.333","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:01:06.332","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:01:06.330","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:01:06.330","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:00:06.450","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:00:06.449","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:00:06.447","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:00:06.447","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:00:06.314","ff02::1:3",5355,"-","-","ech-rog","fe80::b6e0:cf17:dce3:e507",55402
"Oct 19, 2025 @ 17:00:06.314","224.0.0.252",5355,"-","-","ech-rog","192.168.56.1",55402
"Oct 19, 2025 @ 17:00:06.313","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:00:06.312","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:00:06.311","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:00:06.310","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 16:58:16.621","ff02::1:3",5355,"-","-","ech-rog","fe80::b6e0:cf17:dce3:e507",54660
"Oct 19, 2025 @ 16:58:16.621","224.0.0.252",5355,"-","-","ech-rog","192.168.56.1",54660
"Oct 19, 2025 @ 16:58:16.620","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 16:58:16.620","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 16:58:16.618","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 16:58:16.618","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 16:57:55.779","224.0.0.252",5355,"-","-","ech-rog","192.168.56.1",56822
"Oct 19, 2025 @ 16:57:55.778","ff02::1:3",5355,"-","-","ech-rog","fe80::b6e0:cf17:dce3:e507",56822
"Oct 19, 2025 @ 16:57:55.777","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 16:57:55.777","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 16:57:55.775","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 16:57:55.774","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 16:48:02.852","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 16:48:02.852","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
